title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Game of Thrones,8,73,9.2,2400000,22080.0,English,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","Sci-Fi & Fantasy, Drama, Action & Adventure","Revolution Sun Studios, Television 360, Generator Entertainment, Bighead Littlehead",2011-2019,"Emilia Clarke: Daenerys Targaryen, Peter Dinklage: Tyrion Lannister, Kit Harington: Jon Snow, Lena Headey: Cersei Lannister, Sophie Turner: Sansa Stark, Maisie Williams: Arya Stark, Nikolaj Coster-Waldau: Jaime Lannister, Iain Glen: Jorah Mormont, John Bradley: Samwell Tarly, Alfie Allen: Theon Greyjoy","king, stark, targaryen, dragon, night, westeros, kill, snow, north, kingdom, man, manage, war, queen, land, army, young, magic, landing, clan, tribe, night watch, ancient, powerful, remain, son, continent, ice, ruler, magical, watch, mysterious, mad, throne, end, destroy, robert, people, rule, attack, major, ally, hand, begin, power, old, free, man kill, crown, invade",tt0944947,HBO,"United States, United Kingdom"
Breaking Bad,5,62,9.5,2300000,21850.0,English,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","Drama, Crime","Sony Pictures Television Studios, High Bridge Productions, Gran Via Productions",2008-2013,"Bryan Cranston: Walter White, Aaron Paul: Jesse Pinkman, Anna Gunn: Skyler White, Betsy Brandt: Marie Schrader, RJ Mitte: Walter White, Jr., Dean Norris: Hank Schrader, Bob Odenkirk: Saul Goodman, Steven Michael Quezada: Steven Gomez …, Jonathan Banks: Mike Ehrmantraut, Giancarlo Esposito: Gus Fring","walter, hank, produce, lab, kill, mike, gang, jack, sell, cancer, jane, operation, season, partner, dea, henchman, pay, arrest, desert, saul, evidence, provide, police, murder, hire, leave, begin, continue, find, decide, new, attempt, business, offer, product, find new, enforcer, albuquerque, informant, salamanca, dealer, tuco, order, drug, realize, work, house, cartel, treatment, tie",tt0903747,AMC,United States
Stranger Things,4,34,8.6,1400000,12040.0,English,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.","Drama, Sci-Fi & Fantasy, Mystery","21 Laps Entertainment, Monkey Massacre Productions; Television series about parallel universes",2016-2022,"Millie Bobby Brown: Eleven …, Finn Wolfhard: Mike Wheeler, Winona Ryder: Joyce Byers, David Harbour: Jim Hopper, Gaten Matarazzo: Dustin Henderson, Caleb McLaughlin: Lucas Sinclair, Natalia Dyer: Nancy Wheeler, Charlie Heaton: Jonathan Byers, Joe Keery: Steve Harrington, Noah Schnapp: Will Byers","mike, jonathan, steve, monster, ask, tell, find, light, arrive, look, leave, laboratory, karen, say, go, see, agent, hear, give, car, try, house, walk, room, call, school, hand, wake, stay, decide, radio, sleep, grab, run, door, home, eat, remember, bathroom, take, police, enter, trap, wall, time, information, friend, knock, spot, reveal",tt4574334,Netflix,United States
The Walking Dead,11,177,8.1,1100000,8910.0,English,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,"Action & Adventure, Drama, Sci-Fi & Fantasy","AMC Studios, Circle of Confusion, Valhalla Motion Pictures, Darkwoods Productions, Skybound Entertainment, Idiotbox; The Walking Dead (franchise) television series",2010-2022,"Andrew Lincoln: Rick Grimes …, Norman Reedus: Daryl Dixon, Melissa McBride: Carol Peletier, Lauren Cohan: Maggie Rhee …, Christian Serratos: Rosita Espinosa, Josh McDermitt: Eugene Porter, Danai Gurira: Michonne …, Seth Gilliam: Gabriel Stokes, Ross Marquand: Aaron, Chandler Riggs: Carl Grimes …","zombie, comic, survivor, search safe, tell month, interpersonal, exposure, month year, rick, great danger, book series, base comic, description, apocalypse, constant, image, comic book, publish, roam, comic_strip, official, survival, write, willing, secure, follow, robert, challenge, police officer, safe, country, continue, conflict, danger, month, walk, grow, explore, officer, great, tell, survive, book, police, search, travel, present, group, base, death",tt1520211,AMC,United States
Friends,10,228,8.9,1100000,9790.0,English,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",Comedy,"Warner Bros. Television, Bright/Kauffman/Crane Productions",1994-2004,"Jennifer Aniston: Rachel Green, Courteney Cox: Monica Geller …, Lisa Kudrow: Phoebe Buffay …, Matt LeBlanc: Joey Tribbiani, Matthew Perry: Chandler Bing, David Schwimmer: Dr. Ross Geller …, James Michael Tyler: Gunther, Elliott Gould: Jack Geller, Christina Pickles: Judy Geller, Maggie Wheeler: Janice","group, job, member, roommate, friend, relationship, series, involve, explore, self, parent, frequent, later, carol, humor, brother, lover, traumatic, period, mother, year, behavior, marriage, abandon, share, problem, sex, pick, try, father, good, cover, commit, believe, grow, experience, kid, high, company, personal, season, new, son, old, job pay, green, group friend, kid brother, see year, wealthy",tt0108778,NBC,United States
Sherlock,4,12,9.1,1000000,9100.0,English,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Crime, Drama, Mystery","Hartswood Films, BBC Wales, Masterpiece",2010-2017,"Benedict Cumberbatch: Sherlock Holmes, Martin Freeman: Dr. John Watson, Una Stubbs: Mrs. Hudson, Rupert Graves: DI Lestrade …, Louise Brealey: Molly Hooper …, Mark Gatiss: Mycroft Holmes, Andrew Scott: Jim Moriarty …, Amanda Abbington: Mary Morstan …, Jonathan Aris: Anderson, Vinette Robinson: Sgt Sally Donovan","hound, solve, john, figure, phone, puzzle, pool, camera, case, security, crime, meet, turn, recover, message, british, death, encounter, series, government, see, end, chinese, buckingham palace, unseen, turn serial, trick, wrath, watson, escalate, help escape, imply, housekeeper, flat, failure, fake death, swimming, palace, military, old brother, man responsible, jeff, series end, solve crime, retrieve, photograph, power defeat, scott, exposure, baker",tt1475582,BBC One,"United Kingdom, United States"
Chernobyl,1,5,9.3,943000,8769.9,English,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the fo... Read allIn April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.","Disaster, Docudrama, Epic, Historical Epic, Period Drama, Drama, History, Thriller","Home Box Office (HBO), Sister Pictures, Sky Television",2019,"Jessie Buckley: Lyudmilla Ignatenko, Jared Harris: Valery Legasov, Stellan Skarsgård: Boris Shcherbina, Adam Nagaitis: Vasily Ignatenko, Emily Watson: Ulana Khomyuk, Paul Ritter: Anatoly Dyatlov, Robert Emms: Leonid Toptunov, Sam Troughton: Alexandr Akimov, Karl Davies: Viktor Proskuryakov, Michael Socha: Mikhail","nuclear, disaster, nuclear power, power plant, union, plant, bad, explosion, power, suffer, truth, history, cover, happen, follow, lead, ignore, series tackle, uncover truth, woman try, tackle, give life, earth great, prisoner, explode, europe, follow man, malfunction, physicist work, work, man, man woman, arise, physicist, miniserie, interest, cost, prevent, johnny, northern, politician, course, aftermath, number, incident, represent, scientist, station, result, week",tt7366338,,"United States, United Kingdom"
The Big Bang Theory,12,279,8.1,905000,7330.5,English,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,Comedy,"Chuck Lorre Productions, Warner Bros. Television",2007-2019,"Johnny Galecki: Leonard Hofstadter, Jim Parsons: Sheldon Cooper, Kaley Cuoco: Penny …, Simon Helberg: Howard Wolowitz, Kunal Nayyar: Raj Koothrappali, Melissa Rauch: Bernadette Rostenkowski, Mayim Bialik: Amy Farrah Fowler, Kevin Sussman: Stuart Bloom, Carol Ann Susi: Debbie Wolowitz, John Ross Bowie: Barry Kripke","leonard, cooper, howard, physicist, work, woman, brilliant, move, friend, roommate, cal, aspire, genius, spend, universe, apartment, engineer, colleague, know, little, relationship, play, name, change, omaha, regiment, impose, know live, obsessive compulsive, friend fellow, little know, kind, interact, fault, bang, change meet, domineering, entire series, conventional, compulsive, discover world, huggo, play video, pretty, video game, neurotic, naw neine, naw, neine, physicist work",tt0898266,CBS,United States
Dexter,8,96,8.6,838000,7206.8,English,"Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice.","Crime, Drama, Mystery","Showtime Networks, John Goldwyn Productions, The Colleton Company, Clyde Phillips Productions, Devilina Productions",2006-2013,"Michael C. Hall: Dexter Morgan, Jennifer Carpenter: Debra Morgan, David Zayas: Sgt. Angel Batista …, James Remar: Harry Morgan, C.S. Lee: Vince Masuka, Luna Lauren Velez: Lt. Maria LaGuerta …, Desmond Harrington: Det. Joseph 'Joey' Quinn, Julie Benz: Rita Bennett …, Christina Robinson: Astor Bennett, Geoff Pierson: Deputy Chief Tom Matthews …","season, killer, kill, finale, code, butcher, decide, guilty, miami, season finale, guilt, police, harbor, secret, reveal, feature, serial killer, department, end, major, let, serial, track, connection, target, cover, walk, free, person, focus, dead, realize, past, relationship, create, name, case, woman, begin, death, discover, father, season end, try close, truck, unseen, vanish, policeman, psychologist, pursuit",tt0773262,Showtime,United States
The Boys,4,32,8.6,771000,6630.6,English,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,"Sci-Fi & Fantasy, Action & Adventure","Amazon Studios, Original Film, Sony Pictures Television Studios, Kripke Enterprises, Point Grey Pictures, Kickstart, NightSky Productions",2019-2022,"Karl Urban: Billy Butcher, Jack Quaid: Hughie Campbell, Antony Starr: Homelander, Erin Moriarty: Starlight …, Jessie T. Usher: A-Train …, Laz Alonso: Mother's Milk, Chace Crawford: The Deep …, Tomer Capone: Frenchie, Karen Fukuhara: Kimiko Miyashiro, Nathan Mitchell: Black Noir …","superhero, boy, super, join, lead, go, unstable, subject, governmental, heroic, stan, start series, maeve, planner, campbell, ceo, despise, international, executive, barrett, butcher, arrogant, billy, premier, specialist, persona, selfish, maintain, market, force face, super power, train, find way, succeed, corrupt, adoptive, general, weapon, corporation, vigilante, round, individual, violent, recognize, fake, truth, universe, white, girlfriend, series",tt1190634,Prime Video,United States
